feature,importance_mean,importance_std
PCA_1,0.023202698633082133,0.00540572876239664
avg_tokens_per_chunk,0.009427526290518188,0.004339259855985892
LEIDEN_cluster_1,0.006780508081862765,0.0030278767954169733
LEIDEN_cluster_56,0.004589567872500655,0.0007240520952327981
LEIDEN_cluster_12,0.00434743900095359,0.0011506406279896298
total_tokens,0.00424814643188135,0.0010142630332379797
LEIDEN_cluster_53,0.004024601758263013,0.001299715021156574
LEIDEN_cluster_40,0.003047574915044771,0.0016332430875263054
LEIDEN_cluster_42,0.002409638554216831,0.0
LEIDEN_cluster_58,0.0023405972558515177,0.00043463799896162705
clean_text_length,0.00232931726907627,0.00043254335800276477
LEIDEN_cluster_33,0.002168674698795148,0.0007228915662650493
LEIDEN_cluster_57,0.002168674698795148,0.0007228915662650494
LEIDEN_cluster_18,0.002168674698795148,0.0007228915662650495
LEIDEN_cluster_47,0.002098466505246188,0.0008230862814516284
UMAP_1,0.0020080321285140257,0.0008980192680721909
LEIDEN_cluster_2,0.0020080321285140257,0.000898019268072191
LEIDEN_cluster_28,0.0020080321285140257,0.0008980192680721909
LEIDEN_cluster_10,0.0020080321285140257,0.0008980192680721909
LEIDEN_cluster_17,0.0018473895582329035,0.0010191628546545645
LEIDEN_cluster_7,0.0017775873509289922,0.0017659330483037587
LEIDEN_cluster_8,0.0015261044176706595,0.001161191348979979
LEIDEN_cluster_32,0.0012851405622489765,0.001202138919445425
total_char_length,0.0,0.0
LEIDEN_cluster_25,0.0,0.0
LEIDEN_cluster_19,0.0,0.0
LEIDEN_cluster_22,0.0,0.0
LEIDEN_cluster_21,0.0,0.0
LEIDEN_cluster_20,0.0,0.0
LEIDEN_cluster_14,0.0,0.0
LEIDEN_cluster_16,0.0,0.0
LEIDEN_cluster_15,0.0,0.0
LEIDEN_cluster_13,0.0,0.0
LEIDEN_cluster_11,0.0,0.0
LEIDEN_cluster_0,0.0,0.0
LEIDEN_cluster_36,0.0,0.0
LEIDEN_cluster_35,0.0,0.0
LEIDEN_cluster_34,0.0,0.0
LEIDEN_cluster_31,0.0,0.0
LEIDEN_cluster_3,0.0,0.0
LEIDEN_cluster_30,0.0,0.0
LEIDEN_cluster_27,0.0,0.0
LEIDEN_cluster_29,0.0,0.0
LEIDEN_cluster_23,0.0,0.0
LEIDEN_cluster_24,0.0,0.0
LEIDEN_cluster_26,0.0,0.0
LEIDEN_cluster_37,0.0,0.0
LEIDEN_cluster_4,0.0,0.0
LEIDEN_cluster_39,0.0,0.0
LEIDEN_cluster_41,0.0,0.0
LEIDEN_cluster_38,0.0,0.0
LEIDEN_cluster_50,0.0,0.0
LEIDEN_cluster_5,0.0,0.0
LEIDEN_cluster_49,0.0,0.0
LEIDEN_cluster_48,0.0,0.0
LEIDEN_cluster_46,0.0,0.0
LEIDEN_cluster_45,0.0,0.0
LEIDEN_cluster_44,0.0,0.0
LEIDEN_cluster_43,0.0,0.0
LEIDEN_cluster_55,0.0,0.0
LEIDEN_cluster_51,0.0,0.0
LEIDEN_cluster_52,0.0,0.0
LEIDEN_cluster_54,0.0,0.0
LEIDEN_cluster_9,0.0,0.0
LEIDEN_cluster_6,0.0,0.0
PCA_2,0.0,0.0
UMAP_2,0.0,0.0
