feature,correlation_pearson,p_value_pearson,correlation_spearman,p_value_spearman,correlation_difference
LEIDEN_cluster_20,-0.017894335220263607,0.693647255626472,0.032912415015540354,0.4686707248882974,0.05080675023580396
LEIDEN_cluster_44,0.12033736283081117,0.007849942168330236,0.07112341153278837,0.11699574474442073,0.04921395129802281
total_tokens,0.007798742280563535,0.86370201515449,0.05399745351932792,0.23427221617208174,0.04619871123876439
LEIDEN_cluster_43,-0.11240902507930023,0.013059314054702951,-0.15801586222322098,0.00046498070852765537,0.04560683714392075
LEIDEN_cluster_22,-0.08565559212398523,0.058909346878058336,-0.12777971881237207,0.00474000231506282,0.042124126688386845
LEIDEN_cluster_31,-0.07875177648409727,0.08254060838629548,-0.11671248709357004,0.009942674884146383,0.03796071060947277
LEIDEN_cluster_9,-0.18255256008941742,5.070947054325649e-05,-0.14550177432932096,0.001282604095161593,0.03705078576009646
LEIDEN_cluster_36,0.03938916943737313,0.3857524154878673,0.07360086121156449,0.10474846617426935,0.03421169177419136
LEIDEN_cluster_27,0.14720274837598812,0.0011224069397478948,0.18130766961440695,5.716210559637199e-05,0.03410492123841882
LEIDEN_cluster_12,-0.014163383965016693,0.7552145077274804,-0.04358181408571507,0.33718037345164387,0.029418430120698377
LEIDEN_cluster_18,-0.02534708305361151,0.5768351000985071,0.0035444141089689797,0.937814018460839,0.02889149716258049
LEIDEN_cluster_17,-0.13279567793909464,0.0033244454829034612,-0.1046686969269756,0.020874317771587252,0.028126981012119037
LEIDEN_cluster_25,0.19578132997344447,1.3514925249996111e-05,0.16911915672061126,0.00017712653745337285,0.02666217325283321
LEIDEN_cluster_2,-0.201597327368763,7.341236863406334e-06,-0.22568508461583334,4.835921387591698e-07,0.024087757247070324
avg_tokens_per_chunk,-0.051600600706061824,0.2557235198258207,-0.02851774124197647,0.5301073455787615,0.023082859464085354
LEIDEN_cluster_15,0.18027792145138521,6.307779359271256e-05,0.15765406009146046,0.0004793410719559076,0.022623861359924752
