feature,correlation,p_value,abs_correlation
LEIDEN_cluster_30,0.36488430996589916,8.782560133357179e-17,0.36488430996589916
LEIDEN_cluster_14,-0.36102528864493477,1.9403953618212626e-16,0.36102528864493477
LEIDEN_cluster_1,0.3535187379271101,8.796299515916147e-16,0.3535187379271101
LEIDEN_cluster_28,0.3115085009051386,2.029268111211322e-12,0.3115085009051386
LEIDEN_cluster_13,0.27584021465343156,5.93476173025488e-10,0.27584021465343156
LEIDEN_cluster_10,0.25927951026221646,6.372035640382388e-09,0.25927951026221646
LEIDEN_cluster_39,0.25799440853878053,7.609344978225602e-09,0.25799440853878053
LEIDEN_cluster_32,0.25747621509159324,8.171579718384708e-09,0.25747621509159324
LEIDEN_cluster_23,-0.25268008023581184,1.569062605349851e-08,0.25268008023581184
LEIDEN_cluster_21,-0.23459449777128785,1.6320406232176997e-07,0.23459449777128785
LEIDEN_cluster_26,-0.23119861383255974,2.481958137267794e-07,0.23119861383255974
LEIDEN_cluster_49,-0.22544461418828965,4.976775244011296e-07,0.22544461418828965
LEIDEN_cluster_35,-0.22130562488149885,8.117131999317407e-07,0.22130562488149885
LEIDEN_cluster_5,-0.2179073983839534,1.204469821132561e-06,0.2179073983839534
LEIDEN_cluster_45,0.21281364910642997,2.1508448982219013e-06,0.21281364910642997
LEIDEN_cluster_2,-0.201597327368763,7.341236863406334e-06,0.201597327368763
LEIDEN_cluster_48,-0.19700885303134272,1.1899183547609206e-05,0.19700885303134272
LEIDEN_cluster_25,0.19578132997344447,1.3514925249996111e-05,0.19578132997344447
LEIDEN_cluster_9,-0.18255256008941742,5.070947054325649e-05,0.18255256008941742
LEIDEN_cluster_15,0.18027792145138521,6.307779359271256e-05,0.18027792145138521
LEIDEN_cluster_8,-0.17380852566095384,0.00011566134246518341,0.17380852566095384
LEIDEN_cluster_42,-0.16073301620818045,0.00036925707174413673,0.16073301620818045
LEIDEN_cluster_27,0.14720274837598812,0.0011224069397478948,0.14720274837598812
LEIDEN_cluster_3,0.14477795086252992,0.00135695009752607,0.14477795086252992
LEIDEN_cluster_19,-0.14442667180655736,0.0013944413037403178,0.14442667180655736
LEIDEN_cluster_17,-0.13279567793909464,0.0033244454829034612,0.13279567793909464
LEIDEN_cluster_34,-0.1208811856665112,0.007572497042660978,0.1208811856665112
LEIDEN_cluster_44,0.12033736283081117,0.007849942168330236,0.12033736283081117
LEIDEN_cluster_43,-0.11240902507930023,0.013059314054702951,0.11240902507930023
LEIDEN_cluster_0,0.10181079907422255,0.02465051756144097,0.10181079907422255
LEIDEN_cluster_24,0.10108366792317157,0.025700609028161327,0.10108366792317157
LEIDEN_cluster_7,0.09924209707860433,0.028534198409429484,0.09924209707860433
LEIDEN_cluster_50,0.09253972305677714,0.041220250106864566,0.09253972305677714
LEIDEN_cluster_4,0.09237947184171191,0.041574182899552135,0.09237947184171191
LEIDEN_cluster_22,-0.08565559212398523,0.058909346878058336,0.08565559212398523
LEIDEN_cluster_6,0.08256691216067528,0.06867984546847428,0.08256691216067528
LEIDEN_cluster_31,-0.07875177648409727,0.08254060838629548,0.07875177648409727
LEIDEN_cluster_38,-0.07593702281684118,0.09415119138508549,0.07593702281684118
LEIDEN_cluster_37,-0.05711928133747547,0.20828294444724002,0.05711928133747547
LEIDEN_cluster_40,-0.05381867705214087,0.2358269570576268,0.05381867705214087
avg_tokens_per_chunk,-0.051600600706061824,0.2557235198258207,0.051600600706061824
LEIDEN_cluster_47,-0.04030280484320646,0.3748202973156963,0.04030280484320646
LEIDEN_cluster_36,0.03938916943737313,0.3857524154878673,0.03938916943737313
LEIDEN_cluster_46,0.0387596582286684,0.3933966182611791,0.0387596582286684
LEIDEN_cluster_29,-0.029852772310774968,0.511022231235549,0.029852772310774968
LEIDEN_cluster_18,-0.02534708305361151,0.5768351000985071,0.02534708305361151
LEIDEN_cluster_16,0.02215984853055124,0.6256713537073318,0.02215984853055124
LEIDEN_cluster_20,-0.017894335220263607,0.693647255626472,0.017894335220263607
LEIDEN_cluster_12,-0.014163383965016693,0.7552145077274804,0.014163383965016693
LEIDEN_cluster_33,-0.009896199150319501,0.8275582954169589,0.009896199150319501
total_tokens,0.007798742280563535,0.86370201515449,0.007798742280563535
total_char_length,0.005083104514202769,0.9109131632686379,0.005083104514202769
LEIDEN_cluster_41,-0.0031022127252484794,0.9455594763537692,0.0031022127252484794
LEIDEN_cluster_11,0.002334519299477783,0.9590179164510628,0.002334519299477783
clean_text_length,0.002120194255465429,0.9627774957965469,0.002120194255465429
