document_id,data_citation_label,type,pages
10.1002_2017jc013030,https://doi.org/10.17882/49388,Primary,[17]
10.1002_ece3.4466,https://doi.org/10.5061/dryad.r6nq870,Primary,[6]
10.1002_ece3.5260,https://doi.org/10.5061/dryad.2f62927,Primary,[14]
10.1002_ece3.6144,https://doi.org/10.5061/dryad.zw3r22854,Primary,[12]
10.1002_ece3.6303,https://doi.org/10.5061/dryad.37pvmcvgb,Primary,[12]
10.1002_ece3.9627,https://doi.org/10.5061/dryad.b8gtht7h3,Primary,[13]
10.1002_ecs2.1280,https://doi.org/10.5061/dryad.p3fg9,Primary,[17]
10.1002_ecs2.4619,https://doi.org/10.25349/d9qw5x,Primary,[11 13]
10.1002_esp.5058,https://doi.org/10.5061/dryad.jh9w0vt9t,Primary,[12]
10.1002_esp.5090,https://doi.org/10.5066/p9353101,Secondary,[6]
10.1002_mp.14424,https://doi.org/10.7937/k9/tcia.2015.pf0m9rei,Secondary,[11]
10.1002_mp.14424,https://doi.org/10.7937/tcia.2020.6c7y-gq39,Primary,[ 1  8 10 12]
10.1002_nafm.10870,https://doi.org/10.5066/p9gtumay,Primary,[12]
10.1007_s00259-022-06053-8,https://doi.org/10.7937/k9/tcia.2017.7hs46erv,Secondary,[15]
10.1007_s00259-022-06053-8,https://doi.org/10.7937/tcia.2019.30ilqfcl,Secondary,[15]
10.1007_s00382-022-06361-7,https://doi.org/10.6075/j0154fjj,Primary,[ 5 18 19]
10.1007_s00382-022-06361-7,https://doi.org/10.6075/j089161b,Primary,[ 5 18 19]
10.1007_s00442-022-05201-z,https://doi.org/10.5061/dryad.wpzgmsbps,Primary,[9]
10.1007_s12559-020-09751-3,https://doi.org/10.7937/k9/tcia.2015.u1x8a5nr,Secondary,[12]
10.1016_j.ast.2022.107401,https://doi.org/10.17862/cranfield.rd.19146182,Primary,[1 6]
10.1016_j.ast.2022.107401,https://doi.org/10.17862/cranfield.rd.19146182.v1,Primary,[1 6]
10.1016_j.dib.2022.108797,https://doi.org/10.1594/pangaea.949117,Primary,[ 2 11]
10.1016_j.dib.2023.109949,https://doi.org/10.5281/zenodo.8338991,Primary,[2]
10.1016_j.ecolind.2021.107934,https://doi.org/10.6073/pasta/be42bb841e696b7bcad9957aed33db5e,Secondary,[12]
10.1016_j.fuel.2022.125768,https://doi.org/10.11583/dtu.20555586,Primary,[2 9]
10.1016_j.fuel.2022.125768,https://doi.org/10.11583/dtu.20555586.v3,Primary,[9]
10.1016_j.jlp.2022.104761,https://doi.org/10.23642/usn.15134442,Primary,[14]
10.1016_j.jlp.2022.104761,https://doi.org/10.23642/usn.15134442.v1,Primary,[14]
10.1016_j.jobe.2023.107105,https://doi.org/10.5281/zenodo.8014150,Primary,[ 2 12]
10.1016_j.jsames.2022.103824,https://doi.org/10.5066/f7k072r7,Primary,[7]
10.1016_j.molcel.2018.11.006,https://doi.org/10.17632/jb4jjxsbb7.1,Primary,[21]
10.1016_j.molcel.2018.11.006,https://doi.org/10.17632/xtb4mkvf8f.1,Primary,[21]
10.1016_j.scitotenv.2024.171850,https://doi.org/10.17863/cam.107163,Primary,[13]
10.1016_j.websem.2024.100815,https://doi.org/10.17863/cam.82548,Primary,[13 14]
10.1017_rdc.2022.19,https://doi.org/10.11588/data/10100,Secondary,[11]
10.1017_s0007123423000601,https://doi.org/10.7910/dvn/fwckse,Primary,[20 21]
10.1021_acscentsci.1c01109,https://doi.org/10.21942/uva.17040392,Primary,[6]
10.1021_acsomega.3c06074,5VA1,Secondary,[ 6  7 21]
10.1021_acsomega.3c06074,CHEMBL1097,Secondary,[19]
10.1021_acsomega.3c06074,CHEMBL1257578,Secondary,[13 19 25]
10.1021_acsomega.3c06074,CHEMBL1257821,Secondary,[11 12 19]
10.1021_acsomega.3c06074,CHEMBL1782574,Secondary,[19 21 24]
10.1021_acsomega.3c06074,CHEMBL195180,Secondary,[19]
