document_id,missing_count
10.1080_21645515.2023.2189598,10
10.7554_eLife.63194,5
10.3389_fevo.2023.1112519,3
10.1371_journal.pone.0139215,2
10.7554_elife.63455,2
10.1371_journal.pone.0070749,2
10.1098_rsos.160417,2
10.1038_s41467-018-07681-1,1
10.1038_s41558-022-01301-z,1
10.1021_acs.jcim.9b01185,1
10.1016_j.jobe.2023.107105,1
10.1016_j.cpc.2024.109087,1
10.1029_2022gl100473,1
10.1073_pnas.1711872115,1
10.1111_1365-2656.12594,1
10.1038_s41893-020-0559-9,1
10.1039_d2cc00847e,1
10.3389_fcell.2020.618552,1
10.3390_s19030479,1
10.7554_eLife.72626,1
10.7554_elife.73695,1
10.7554_elife.74937,1
